iso,country,GCAM_region,source,rule,GHGs,CO2,CH4,N2O,HFCs,PFCs,SF6,other_GHG,GHG_total,LULUCF,sectors_C2ES,energy,industry,ag,LULUCF,waste,other_sector,INDC_UC,INDC_CN,INDC_UC_MtCO2eq,INDC_CN_MtCO2eq,target_type,ref_point,BY_emiss_source,BY_emiss_net_Mt_CO2e,BY_emiss_gross_Mt_CO2e,GWP,target_year,ref_emiss,notes
afg,Afghanistan,South Asia,ADVANCE,2,"CO2, CH4, N2O",1,1,1,,,,,3,0,"Energy, natural resource management, agriculture, waste management and mining",1,,1,,1,"natural resource management, mining",0,-0.14,42.7,,BAU,BAU,INDC,61.034,48.94,,2030,48.93954,42.7 Mt CO2-eq target from chart on pg. 1 of INDC
alb,Albania,Europe_Non_EU,ADVANCE,2,CO2,1,,,,,,,1,0,"Energy, industrial processes",1,1,,,,,-0.12,-0.12,,,BAU,BAU,INDC,,5.9,SAR,2030,5.9,MB:  could not find 2030 BAU (5.9 Mt) in INDC… taken from ADVANCE
dza,Algeria,Africa_Northern,MB,3,"CO2, CH4, N2O",1,1,1,,,,,3,1,"Energy, industrial processes and product use, land-use, land-use change and forestry, waste",1,1,,1,1,,-0.07,-0.22,,,BAU,BAU,,,,AR4,2030,,
asm,American Samoa,South Asia,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
ago,Angola,Africa_Southern,MB,2,"CO2, CH4, N2O",1,1,1,,,,,3,1,"Energy, industrial processes, agriculture, land-use, land-use change and forestry",1,1,1,1,,,-0.35,-0.5,,,BAU,BAU,INDC,193.25,,AR4,2030,193.25,INDC:  2020 projection = .125778; 2052 UC = .124656; 2025 CN = .113748
aia,Anguilla,Central America and Caribbean,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
atg,Antigua & Barbuda,Central America and Caribbean,MB,3a,"CO2, CH4, N2O, HFCs",1,1,1,1,,,,4,,,,,,,,,,,,,action,,,,,SAR,,,
arg,Argentina,Argentina,ADVANCE,1,"CO2, CH4, N2O, HFCs, PFCs, SF6",1,1,1,1,1,1,,6,1,"Energy, agriculture, land-use, land-use change and forestry, waste",1,,1,1,1,,-0.18,-0.37,,,BAU,BAU,INDC,592,,SAR,2030,570,
arm,Armenia,Central Asia,MB,3a,"CO2, CH4, N2O, HFCs",1,1,1,1,,,,4,1,"Energy, transport, urban development, industrial processes, land-use and forestry, waste",1,1,,1,1,urban development,,,,,trajectory,,,,,AR5,2050,,"""Strive to reach 'ecosystem neutrality'"""
abw,Aruba,Central America and Caribbean,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
