INPUT_TABLE
Variable ID
GHGConstrLong

"region","ghgpolicy","market","year","value"
"Africa_Eastern","GHG","Africa_Eastern",2020,669.535153750922
"Africa_Eastern","GHG","Africa_Eastern",2025,630.116958071245
"Africa_Eastern","GHG","Africa_Eastern",2030,590.698762391569
"Africa_Eastern","GHG","Africa_Eastern",2035,444.274071793676
"Africa_Eastern","GHG","Africa_Eastern",2040,297.849381195784
"Africa_Eastern","GHG","Africa_Eastern",2045,151.424690597892
"Africa_Eastern","GHG","Africa_Eastern",2050,5
"Africa_Eastern","GHG","Africa_Eastern",2055,5
"Africa_Eastern","GHG","Africa_Eastern",2060,5
"Africa_Eastern","GHG","Africa_Eastern",2065,5
"Africa_Eastern","GHG","Africa_Eastern",2070,5
"Africa_Eastern","GHG","Africa_Eastern",2075,5
"Africa_Eastern","GHG","Africa_Eastern",2080,5
"Africa_Eastern","GHG","Africa_Eastern",2085,5
"Africa_Eastern","GHG","Africa_Eastern",2090,5
"Africa_Eastern","GHG","Africa_Eastern",2095,5
"Africa_Eastern","GHG","Africa_Eastern",2100,5
"Africa_Northern","GHG","Africa_Northern",2020,876.90153266099
"Africa_Northern","GHG","Africa_Northern",2025,970.376816220869
"Africa_Northern","GHG","Africa_Northern",2030,1063.85209978075
"Africa_Northern","GHG","Africa_Northern",2035,799.139074835561
"Africa_Northern","GHG","Africa_Northern",2040,534.426049890374
"Africa_Northern","GHG","Africa_Northern",2045,269.713024945187
"Africa_Northern","GHG","Africa_Northern",2050,5
"Africa_Northern","GHG","Africa_Northern",2055,5
"Africa_Northern","GHG","Africa_Northern",2060,5
"Africa_Northern","GHG","Africa_Northern",2065,5
"Africa_Northern","GHG","Africa_Northern",2070,5
"Africa_Northern","GHG","Africa_Northern",2075,5
"Africa_Northern","GHG","Africa_Northern",2080,5
"Africa_Northern","GHG","Africa_Northern",2085,5
"Africa_Northern","GHG","Africa_Northern",2090,5
"Africa_Northern","GHG","Africa_Northern",2095,5
"Africa_Northern","GHG","Africa_Northern",2100,5
"Africa_Southern","GHG","Africa_Southern",2020,522.846840585968
"Africa_Southern","GHG","Africa_Southern",2025,489.891576782008
"Africa_Southern","GHG","Africa_Southern",2030,456.936312978048
"Africa_Southern","GHG","Africa_Southern",2035,343.952234733536
"Africa_Southern","GHG","Africa_Southern",2040,230.968156489024
"Africa_Southern","GHG","Africa_Southern",2045,117.984078244512
"Africa_Southern","GHG","Africa_Southern",2050,5
"Africa_Southern","GHG","Africa_Southern",2055,5
"Africa_Southern","GHG","Africa_Southern",2060,5
"Africa_Southern","GHG","Africa_Southern",2065,5
"Africa_Southern","GHG","Africa_Southern",2070,5
"Africa_Southern","GHG","Africa_Southern",2075,5
"Africa_Southern","GHG","Africa_Southern",2080,5
"Africa_Southern","GHG","Africa_Southern",2085,5
"Africa_Southern","GHG","Africa_Southern",2090,5
"Africa_Southern","GHG","Africa_Southern",2095,5
"Africa_Southern","GHG","Africa_Southern",2100,5
"Africa_Western","GHG","Africa_Western",2020,1020.05922226832
"Africa_Western","GHG","Africa_Western",2025,834.715791907752
"Africa_Western","GHG","Africa_Western",2030,649.372361547187
"Africa_Western","GHG","Africa_Western",2035,488.27927116039
"Africa_Western","GHG","Africa_Western",2040,327.186180773594
"Africa_Western","GHG","Africa_Western",2045,166.093090386797
"Africa_Western","GHG","Africa_Western",2050,5
"Africa_Western","GHG","Africa_Western",2055,5
"Africa_Western","GHG","Africa_Western",2060,5
"Africa_Western","GHG","Africa_Western",2065,5
"Africa_Western","GHG","Africa_Western",2070,5
"Africa_Western","GHG","Africa_Western",2075,5
"Africa_Western","GHG","Africa_Western",2080,5
"Africa_Western","GHG","Africa_Western",2085,5
"Africa_Western","GHG","Africa_Western",2090,5
"Africa_Western","GHG","Africa_Western",2095,5
