INPUT_TABLE
Variable ID
GHGConstrLong

"region","ghgpolicy","market","year","value"
"Africa_Eastern","GHG","Africa_Eastern",2020,669.535153750922
"Africa_Eastern","GHG","Africa_Eastern",2025,784.117078110362
"Africa_Eastern","GHG","Africa_Eastern",2030,911.447852391569
"Africa_Eastern","GHG","Africa_Eastern",2035,684.835889293676
"Africa_Eastern","GHG","Africa_Eastern",2040,458.223926195784
"Africa_Eastern","GHG","Africa_Eastern",2045,231.611963097892
"Africa_Eastern","GHG","Africa_Eastern",2050,5
"Africa_Eastern","GHG","Africa_Eastern",2055,5
"Africa_Eastern","GHG","Africa_Eastern",2060,5
"Africa_Eastern","GHG","Africa_Eastern",2065,5
"Africa_Eastern","GHG","Africa_Eastern",2070,5
"Africa_Eastern","GHG","Africa_Eastern",2075,5
"Africa_Eastern","GHG","Africa_Eastern",2080,5
"Africa_Eastern","GHG","Africa_Eastern",2085,5
"Africa_Eastern","GHG","Africa_Eastern",2090,5
"Africa_Eastern","GHG","Africa_Eastern",2095,5
"Africa_Eastern","GHG","Africa_Eastern",2100,5
"Africa_Northern","GHG","Africa_Northern",2020,876.90153266099
"Africa_Northern","GHG","Africa_Northern",2025,996.510816220869
"Africa_Northern","GHG","Africa_Northern",2030,1116.12009978075
"Africa_Northern","GHG","Africa_Northern",2035,838.340074835561
"Africa_Northern","GHG","Africa_Northern",2040,560.560049890374
"Africa_Northern","GHG","Africa_Northern",2045,282.780024945187
"Africa_Northern","GHG","Africa_Northern",2050,5
"Africa_Northern","GHG","Africa_Northern",2055,5
"Africa_Northern","GHG","Africa_Northern",2060,5
"Africa_Northern","GHG","Africa_Northern",2065,5
"Africa_Northern","GHG","Africa_Northern",2070,5
"Africa_Northern","GHG","Africa_Northern",2075,5
"Africa_Northern","GHG","Africa_Northern",2080,5
"Africa_Northern","GHG","Africa_Northern",2085,5
"Africa_Northern","GHG","Africa_Northern",2090,5
"Africa_Northern","GHG","Africa_Northern",2095,5
"Africa_Northern","GHG","Africa_Northern",2100,5
"Africa_Southern","GHG","Africa_Southern",2020,522.846840585968
"Africa_Southern","GHG","Africa_Southern",2025,540.900541782008
"Africa_Southern","GHG","Africa_Southern",2030,558.954242978048
"Africa_Southern","GHG","Africa_Southern",2035,420.465682233536
"Africa_Southern","GHG","Africa_Southern",2040,281.977121489024
"Africa_Southern","GHG","Africa_Southern",2045,143.488560744512
"Africa_Southern","GHG","Africa_Southern",2050,5
"Africa_Southern","GHG","Africa_Southern",2055,5
"Africa_Southern","GHG","Africa_Southern",2060,5
"Africa_Southern","GHG","Africa_Southern",2065,5
"Africa_Southern","GHG","Africa_Southern",2070,5
"Africa_Southern","GHG","Africa_Southern",2075,5
"Africa_Southern","GHG","Africa_Southern",2080,5
"Africa_Southern","GHG","Africa_Southern",2085,5
"Africa_Southern","GHG","Africa_Southern",2090,5
"Africa_Southern","GHG","Africa_Southern",2095,5
"Africa_Southern","GHG","Africa_Southern",2100,5
"Africa_Western","GHG","Africa_Western",2020,1020.05922226832
"Africa_Western","GHG","Africa_Western",2025,1071.21074190775
"Africa_Western","GHG","Africa_Western",2030,1122.36226154719
"Africa_Western","GHG","Africa_Western",2035,843.02169616039
"Africa_Western","GHG","Africa_Western",2040,563.681130773594
"Africa_Western","GHG","Africa_Western",2045,284.340565386797
"Africa_Western","GHG","Africa_Western",2050,5
"Africa_Western","GHG","Africa_Western",2055,5
"Africa_Western","GHG","Africa_Western",2060,5
"Africa_Western","GHG","Africa_Western",2065,5
"Africa_Western","GHG","Africa_Western",2070,5
"Africa_Western","GHG","Africa_Western",2075,5
"Africa_Western","GHG","Africa_Western",2080,5
"Africa_Western","GHG","Africa_Western",2085,5
"Africa_Western","GHG","Africa_Western",2090,5
"Africa_Western","GHG","Africa_Western",2095,5
"Africa_Western","GHG","Africa_Western",2100,5
"Argentina","GHG","Argentina",2020,398.529059818511
"Argentina","GHG","Argentina",2025,432.964529909255
"Argentina","GHG","Argentina",2030,467.4
"Argentina","GHG","Argentina",2035,351.8
"Argentina","GHG","Argentina",2040,236.2
"Argentina","GHG","Argentina",2045,120.6
"Argentina","GHG","Argentina",2050,5
"Argentina","GHG","Argentina",2055,5
"Argentina","GHG","Argentina",2060,5
"Argentina","GHG","Argentina",2065,5
"Argentina","GHG","Argentina",2070,5
"Argentina","GHG","Argentina",2075,5
"Argentina","GHG","Argentina",2080,5
"Argentina","GHG","Argentina",2085,5
"Argentina","GHG","Argentina",2090,5
"Argentina","GHG","Argentina",2095,5
"Argentina","GHG","Argentina",2100,5
"Australia_NZ","GHG","Australia_NZ",2020,499
"Australia_NZ","GHG","Australia_NZ",2025,469.30125
"Australia_NZ","GHG","Australia_NZ",2030,439.6025
"Australia_NZ","GHG","Australia_NZ",2035,330.951875
"Australia_NZ","GHG","Australia_NZ",2040,222.30125
"Australia_NZ","GHG","Australia_NZ",2045,113.650625
"Australia_NZ","GHG","Australia_NZ",2050,5
"Australia_NZ","GHG","Australia_NZ",2055,5
"Australia_NZ","GHG","Australia_NZ",2060,5
"Australia_NZ","GHG","Australia_NZ",2065,5
"Australia_NZ","GHG","Australia_NZ",2070,5
"Australia_NZ","GHG","Australia_NZ",2075,5
"Australia_NZ","GHG","Australia_NZ",2080,5
"Australia_NZ","GHG","Australia_NZ",2085,5
"Australia_NZ","GHG","Australia_NZ",2090,5
"Australia_NZ","GHG","Australia_NZ",2095,5
"Australia_NZ","GHG","Australia_NZ",2100,5
"Brazil","GHG","Brazil",2020,1600.9510127949
"Brazil","GHG","Brazil",2025,1323
"Brazil","GHG","Brazil",2030,1197
"Brazil","GHG","Brazil",2035,899
"Brazil","GHG","Brazil",2040,601
"Brazil","GHG","Brazil",2045,303
"Brazil","GHG","Brazil",2050,5
"Brazil","GHG","Brazil",2055,5
"Brazil","GHG","Brazil",2060,5
"Brazil","GHG","Brazil",2065,5
"Brazil","GHG","Brazil",2070,5
"Brazil","GHG","Brazil",2075,5
"Brazil","GHG","Brazil",2080,5
"Brazil","GHG","Brazil",2085,5
"Brazil","GHG","Brazil",2090,5
"Brazil","GHG","Brazil",2095,5
"Brazil","GHG","Brazil",2100,5
"Canada","GHG","Canada",2020,655.7
"Canada","GHG","Canada",2025,604.08435
"Canada","GHG","Canada",2030,552.4687
"Canada","GHG","Canada",2035,415.601525
"Canada","GHG","Canada",2040,278.73435
"Canada","GHG","Canada",2045,141.867175
"Canada","GHG","Canada",2050,5
"Canada","GHG","Canada",2055,5
"Canada","GHG","Canada",2060,5
"Canada","GHG","Canada",2065,5
"Canada","GHG","Canada",2070,5
"Canada","GHG","Canada",2075,5
"Canada","GHG","Canada",2080,5
"Canada","GHG","Canada",2085,5
"Canada","GHG","Canada",2090,5
"Canada","GHG","Canada",2095,5
"Canada","GHG","Canada",2100,5
"Central America and Caribbean","GHG","Central America and Caribbean",2020,414.563506441618
"Central America and Caribbean","GHG","Central America and Caribbean",2025,454.622166287485
"Central America and Caribbean","GHG","Central America and Caribbean",2030,494.680826133353
"Central America and Caribbean","GHG","Central America and Caribbean",2035,372.260619600015
"Central America and Caribbean","GHG","Central America and Caribbean",2040,249.840413066676
"Central America and Caribbean","GHG","Central America and Caribbean",2045,127.420206533338
"Central America and Caribbean","GHG","Central America and Caribbean",2050,5
"Central America and Caribbean","GHG","Central America and Caribbean",2055,5
"Central America and Caribbean","GHG","Central America and Caribbean",2060,5
"Central America and Caribbean","GHG","Central America and Caribbean",2065,5
"Central America and Caribbean","GHG","Central America and Caribbean",2070,5
"Central America and Caribbean","GHG","Central America and Caribbean",2075,5
"Central America and Caribbean","GHG","Central America and Caribbean",2080,5
"Central America and Caribbean","GHG","Central America and Caribbean",2085,5
"Central America and Caribbean","GHG","Central America and Caribbean",2090,5
"Central America and Caribbean","GHG","Central America and Caribbean",2095,5
"Central America and Caribbean","GHG","Central America and Caribbean",2100,5
"Central Asia","GHG","Central Asia",2020,898.131384960835
"Central Asia","GHG","Central Asia",2025,939.916412242026
"Central Asia","GHG","Central Asia",2030,981.701439523217
"Central Asia","GHG","Central Asia",2035,737.526079642413
"Central Asia","GHG","Central Asia",2040,493.350719761609
"Central Asia","GHG","Central Asia",2045,249.175359880804
"Central Asia","GHG","Central Asia",2050,5
"Central Asia","GHG","Central Asia",2055,5
"Central Asia","GHG","Central Asia",2060,5
