INPUT_TABLE
Variable ID
GHGConstrLong

"region","ghgpolicy","market","year","value"
"Africa_Eastern","GHG","Africa_Eastern",2020,669.535153750922
"Africa_Eastern","GHG","Africa_Eastern",2025,784.117078110362
"Africa_Eastern","GHG","Africa_Eastern",2030,911.447852391569
"Africa_Eastern","GHG","Africa_Eastern",2035,798.141870842623
"Africa_Eastern","GHG","Africa_Eastern",2040,684.835889293676
"Africa_Eastern","GHG","Africa_Eastern",2045,571.52990774473
"Africa_Eastern","GHG","Africa_Eastern",2050,458.223926195784
"Africa_Eastern","GHG","Africa_Eastern",2055,344.917944646838
"Africa_Eastern","GHG","Africa_Eastern",2060,231.611963097892
"Africa_Eastern","GHG","Africa_Eastern",2065,118.305981548946
"Africa_Eastern","GHG","Africa_Eastern",2070,5
"Africa_Eastern","GHG","Africa_Eastern",2075,5
"Africa_Eastern","GHG","Africa_Eastern",2080,5
"Africa_Eastern","GHG","Africa_Eastern",2085,5
"Africa_Eastern","GHG","Africa_Eastern",2090,5
"Africa_Eastern","GHG","Africa_Eastern",2095,5
"Africa_Eastern","GHG","Africa_Eastern",2100,5
"Africa_Northern","GHG","Africa_Northern",2020,876.90153266099
"Africa_Northern","GHG","Africa_Northern",2025,996.510816220869
"Africa_Northern","GHG","Africa_Northern",2030,1116.12009978075
"Africa_Northern","GHG","Africa_Northern",2035,977.230087308154
"Africa_Northern","GHG","Africa_Northern",2040,838.340074835561
"Africa_Northern","GHG","Africa_Northern",2045,699.450062362968
"Africa_Northern","GHG","Africa_Northern",2050,560.560049890374
"Africa_Northern","GHG","Africa_Northern",2055,421.67003741778
"Africa_Northern","GHG","Africa_Northern",2060,282.780024945187
"Africa_Northern","GHG","Africa_Northern",2065,143.890012472594
"Africa_Northern","GHG","Africa_Northern",2070,5
"Africa_Northern","GHG","Africa_Northern",2075,5
"Africa_Northern","GHG","Africa_Northern",2080,5
"Africa_Northern","GHG","Africa_Northern",2085,5
"Africa_Northern","GHG","Africa_Northern",2090,5
"Africa_Northern","GHG","Africa_Northern",2095,5
"Africa_Northern","GHG","Africa_Northern",2100,5
"Africa_Southern","GHG","Africa_Southern",2020,522.846840585968
"Africa_Southern","GHG","Africa_Southern",2025,540.900541782008
"Africa_Southern","GHG","Africa_Southern",2030,558.954242978048
"Africa_Southern","GHG","Africa_Southern",2035,489.709962605792
"Africa_Southern","GHG","Africa_Southern",2040,420.465682233536
"Africa_Southern","GHG","Africa_Southern",2045,351.22140186128
"Africa_Southern","GHG","Africa_Southern",2050,281.977121489024
"Africa_Southern","GHG","Africa_Southern",2055,212.732841116768
"Africa_Southern","GHG","Africa_Southern",2060,143.488560744512
"Africa_Southern","GHG","Africa_Southern",2065,74.244280372256
"Africa_Southern","GHG","Africa_Southern",2070,5
"Africa_Southern","GHG","Africa_Southern",2075,5
"Africa_Southern","GHG","Africa_Southern",2080,5
"Africa_Southern","GHG","Africa_Southern",2085,5
"Africa_Southern","GHG","Africa_Southern",2090,5
"Africa_Southern","GHG","Africa_Southern",2095,5
"Africa_Southern","GHG","Africa_Southern",2100,5
"Africa_Western","GHG","Africa_Western",2020,1020.05922226832
"Africa_Western","GHG","Africa_Western",2025,1071.21074190775
"Africa_Western","GHG","Africa_Western",2030,1122.36226154719
"Africa_Western","GHG","Africa_Western",2035,982.691978853789
"Africa_Western","GHG","Africa_Western",2040,843.02169616039
"Africa_Western","GHG","Africa_Western",2045,703.351413466992
"Africa_Western","GHG","Africa_Western",2050,563.681130773594
"Africa_Western","GHG","Africa_Western",2055,424.010848080195
"Africa_Western","GHG","Africa_Western",2060,284.340565386797
"Africa_Western","GHG","Africa_Western",2065,144.670282693398
"Africa_Western","GHG","Africa_Western",2070,5
"Africa_Western","GHG","Africa_Western",2075,5
"Africa_Western","GHG","Africa_Western",2080,5
"Africa_Western","GHG","Africa_Western",2085,5
"Africa_Western","GHG","Africa_Western",2090,5
"Africa_Western","GHG","Africa_Western",2095,5
"Africa_Western","GHG","Africa_Western",2100,5
"Argentina","GHG","Argentina",2020,398.529059818511
"Argentina","GHG","Argentina",2025,432.964529909255
"Argentina","GHG","Argentina",2030,467.4
"Argentina","GHG","Argentina",2035,409.6
"Argentina","GHG","Argentina",2040,351.8
"Argentina","GHG","Argentina",2045,294
"Argentina","GHG","Argentina",2050,236.2
"Argentina","GHG","Argentina",2055,178.4
"Argentina","GHG","Argentina",2060,120.6
"Argentina","GHG","Argentina",2065,62.8
"Argentina","GHG","Argentina",2070,5
"Argentina","GHG","Argentina",2075,5
"Argentina","GHG","Argentina",2080,5
"Argentina","GHG","Argentina",2085,5
"Argentina","GHG","Argentina",2090,5
"Argentina","GHG","Argentina",2095,5
"Argentina","GHG","Argentina",2100,5
"Australia_NZ","GHG","Australia_NZ",2020,499
"Australia_NZ","GHG","Australia_NZ",2025,469.30125
"Australia_NZ","GHG","Australia_NZ",2030,439.6025
"Australia_NZ","GHG","Australia_NZ",2035,385.2771875
"Australia_NZ","GHG","Australia_NZ",2040,330.951875
"Australia_NZ","GHG","Australia_NZ",2045,276.6265625
"Australia_NZ","GHG","Australia_NZ",2050,222.30125
"Australia_NZ","GHG","Australia_NZ",2055,167.9759375
"Australia_NZ","GHG","Australia_NZ",2060,113.650625
"Australia_NZ","GHG","Australia_NZ",2065,59.3253125
"Australia_NZ","GHG","Australia_NZ",2070,5
"Australia_NZ","GHG","Australia_NZ",2075,5
"Australia_NZ","GHG","Australia_NZ",2080,5
"Australia_NZ","GHG","Australia_NZ",2085,5
"Australia_NZ","GHG","Australia_NZ",2090,5
"Australia_NZ","GHG","Australia_NZ",2095,5
"Australia_NZ","GHG","Australia_NZ",2100,5
"Brazil","GHG","Brazil",2020,1600.9510127949
"Brazil","GHG","Brazil",2025,1323
"Brazil","GHG","Brazil",2030,1197
"Brazil","GHG","Brazil",2035,1048
"Brazil","GHG","Brazil",2040,899
"Brazil","GHG","Brazil",2045,750
"Brazil","GHG","Brazil",2050,601
"Brazil","GHG","Brazil",2055,452
"Brazil","GHG","Brazil",2060,303
"Brazil","GHG","Brazil",2065,154
"Brazil","GHG","Brazil",2070,5
"Brazil","GHG","Brazil",2075,5
"Brazil","GHG","Brazil",2080,5
"Brazil","GHG","Brazil",2085,5
"Brazil","GHG","Brazil",2090,5
"Brazil","GHG","Brazil",2095,5
"Brazil","GHG","Brazil",2100,5
"Canada","GHG","Canada",2020,655.7
"Canada","GHG","Canada",2025,604.08435
"Canada","GHG","Canada",2030,552.4687
"Canada","GHG","Canada",2035,484.0351125
"Canada","GHG","Canada",2040,415.601525
"Canada","GHG","Canada",2045,347.1679375
"Canada","GHG","Canada",2050,278.73435
"Canada","GHG","Canada",2055,210.3007625
"Canada","GHG","Canada",2060,141.867175
"Canada","GHG","Canada",2065,73.4335875
"Canada","GHG","Canada",2070,5
"Canada","GHG","Canada",2075,5
"Canada","GHG","Canada",2080,5
"Canada","GHG","Canada",2085,5
"Canada","GHG","Canada",2090,5
"Canada","GHG","Canada",2095,5
"Canada","GHG","Canada",2100,5
"Central America and Caribbean","GHG","Central America and Caribbean",2020,414.563506441618
"Central America and Caribbean","GHG","Central America and Caribbean",2025,454.622166287485
"Central America and Caribbean","GHG","Central America and Caribbean",2030,494.680826133353
"Central America and Caribbean","GHG","Central America and Caribbean",2035,433.470722866684
"Central America and Caribbean","GHG","Central America and Caribbean",2040,372.260619600015
"Central America and Caribbean","GHG","Central America and Caribbean",2045,311.050516333345
"Central America and Caribbean","GHG","Central America and Caribbean",2050,249.840413066676
"Central America and Caribbean","GHG","Central America and Caribbean",2055,188.630309800007
"Central America and Caribbean","GHG","Central America and Caribbean",2060,127.420206533338
"Central America and Caribbean","GHG","Central America and Caribbean",2065,66.2101032666691
"Central America and Caribbean","GHG","Central America and Caribbean",2070,5
"Central America and Caribbean","GHG","Central America and Caribbean",2075,5
"Central America and Caribbean","GHG","Central America and Caribbean",2080,5
"Central America and Caribbean","GHG","Central America and Caribbean",2085,5
"Central America and Caribbean","GHG","Central America and Caribbean",2090,5
"Central America and Caribbean","GHG","Central America and Caribbean",2095,5
"Central America and Caribbean","GHG","Central America and Caribbean",2100,5
"Central Asia","GHG","Central Asia",2020,898.131384960835
"Central Asia","GHG","Central Asia",2025,939.916412242026
"Central Asia","GHG","Central Asia",2030,981.701439523217
