INPUT_TABLE
Variable ID
GHGLink_start

"region","linked-ghg-policy","price-adjust-year","price-adjust","demand-adjust-year","demand-adjust","market","linked-policy","price-unit","output-unit"
"Africa_Eastern","CO2",2020,1,2020,3.666666667,"Africa_Eastern","GHG","1990$/tC","MTC"
"Africa_Eastern","CH4",2020,0,2020,25,"Africa_Eastern","GHG","1990$/tCH4","TgCH4"
"Africa_Eastern","N2O",2020,0,2020,298,"Africa_Eastern","GHG","1990$/tN2O","TgN2O"
"Africa_Eastern","C2F6",2020,0,2020,12.2,"Africa_Eastern","GHG","1990$/tC2F6","GgC2F6"
"Africa_Eastern","CF4",2020,0,2020,7.39,"Africa_Eastern","GHG","1990$/tCF4","GgCF4"
"Africa_Eastern","HFC125",2020,0,2020,3.5,"Africa_Eastern","GHG","1990$/GgHFC125","GgHFC125"
"Africa_Eastern","HFC134a",2020,0,2020,1.43,"Africa_Eastern","GHG","1990$/GgHFC134a","GgHFC134a"
"Africa_Eastern","HFC245fa",2020,0,2020,1.03,"Africa_Eastern","GHG","1990$/GgHFC245fa","GgHFC245fa"
"Africa_Eastern","SF6",2020,0,2020,22.8,"Africa_Eastern","GHG","1990$/tSF6","GgSF6"
"Africa_Eastern","CH4_AWB",2020,0,2020,25,"Africa_Eastern","GHG","1990$/tCH4","TgCH4"
"Africa_Eastern","CH4_AGR",2020,0,2020,25,"Africa_Eastern","GHG","1990$/tCH4","TgCH4"
"Africa_Eastern","N2O_AWB",2020,0,2020,298,"Africa_Eastern","GHG","1990$/tN2O","TgN2O"
"Africa_Eastern","N2O_AGR",2020,0,2020,298,"Africa_Eastern","GHG","1990$/tN2O","TgN2O"
"Africa_Eastern","CO2_LUC",2020,0.01,2020,3.666666667,"Africa_Eastern","GHG","1990$/tC","MTC"
"Africa_Eastern","HFC143a",2020,0,2020,4.47,"Africa_Eastern","GHG","1990$/GgHFC143a","GgHFC143a"
"Africa_Eastern","HFC152a",2020,0,2020,0.124,"Africa_Eastern","GHG","1990$/GgHFC152a","GgHFC152a"
"Africa_Eastern","HFC227ea",2020,0,2020,3.22,"Africa_Eastern","GHG","1990$/GgHFC227ea","GgHFC227ea"
"Africa_Eastern","HFC23",2020,0,2020,14.8,"Africa_Eastern","GHG","1990$/GgHFC23","GgHFC23"
"Africa_Eastern","HFC236fa",2020,0,2020,9.81,"Africa_Eastern","GHG","1990$/GgHFC23fa","GgHFC23fa"
"Africa_Eastern","HFC32",2020,0,2020,0.675,"Africa_Eastern","GHG","1990$/GgHFC32","GgHFC32"
"Africa_Eastern","HFC365mfc",2020,0,2020,0.794,"Africa_Eastern","GHG","1990$/GgHFC365mfc","GgHFC365mfc"
"Africa_Northern","CO2",2020,1,2020,3.666666667,"Africa_Northern","GHG","1990$/tC","MTC"
"Africa_Northern","CH4",2020,0,2020,25,"Africa_Northern","GHG","1990$/tCH4","TgCH4"
"Africa_Northern","N2O",2020,0,2020,298,"Africa_Northern","GHG","1990$/tN2O","TgN2O"
"Africa_Northern","C2F6",2020,0,2020,12.2,"Africa_Northern","GHG","1990$/tC2F6","GgC2F6"
"Africa_Northern","CF4",2020,0,2020,7.39,"Africa_Northern","GHG","1990$/tCF4","GgCF4"
"Africa_Northern","HFC125",2020,0,2020,3.5,"Africa_Northern","GHG","1990$/GgHFC125","GgHFC125"
"Africa_Northern","HFC134a",2020,0,2020,1.43,"Africa_Northern","GHG","1990$/GgHFC134a","GgHFC134a"
"Africa_Northern","HFC245fa",2020,0,2020,1.03,"Africa_Northern","GHG","1990$/GgHFC245fa","GgHFC245fa"
"Africa_Northern","SF6",2020,0,2020,22.8,"Africa_Northern","GHG","1990$/tSF6","GgSF6"
"Africa_Northern","CH4_AWB",2020,0,2020,25,"Africa_Northern","GHG","1990$/tCH4","TgCH4"
"Africa_Northern","CH4_AGR",2020,0,2020,25,"Africa_Northern","GHG","1990$/tCH4","TgCH4"
"Africa_Northern","N2O_AWB",2020,0,2020,298,"Africa_Northern","GHG","1990$/tN2O","TgN2O"
"Africa_Northern","N2O_AGR",2020,0,2020,298,"Africa_Northern","GHG","1990$/tN2O","TgN2O"
"Africa_Northern","CO2_LUC",2020,0.01,2020,3.666666667,"Africa_Northern","GHG","1990$/tC","MTC"
"Africa_Northern","HFC143a",2020,0,2020,4.47,"Africa_Northern","GHG","1990$/GgHFC143a","GgHFC143a"
"Africa_Northern","HFC152a",2020,0,2020,0.124,"Africa_Northern","GHG","1990$/GgHFC152a","GgHFC152a"
"Africa_Northern","HFC227ea",2020,0,2020,3.22,"Africa_Northern","GHG","1990$/GgHFC227ea","GgHFC227ea"
"Africa_Northern","HFC23",2020,0,2020,14.8,"Africa_Northern","GHG","1990$/GgHFC23","GgHFC23"
"Africa_Northern","HFC236fa",2020,0,2020,9.81,"Africa_Northern","GHG","1990$/GgHFC23fa","GgHFC23fa"
"Africa_Northern","HFC32",2020,0,2020,0.675,"Africa_Northern","GHG","1990$/GgHFC32","GgHFC32"
"Africa_Northern","HFC365mfc",2020,0,2020,0.794,"Africa_Northern","GHG","1990$/GgHFC365mfc","GgHFC365mfc"
"Africa_Southern","CO2",2020,1,2020,3.666666667,"Africa_Southern","GHG","1990$/tC","MTC"
"Africa_Southern","CH4",2020,0,2020,25,"Africa_Southern","GHG","1990$/tCH4","TgCH4"
"Africa_Southern","N2O",2020,0,2020,298,"Africa_Southern","GHG","1990$/tN2O","TgN2O"
"Africa_Southern","C2F6",2020,0,2020,12.2,"Africa_Southern","GHG","1990$/tC2F6","GgC2F6"
"Africa_Southern","CF4",2020,0,2020,7.39,"Africa_Southern","GHG","1990$/tCF4","GgCF4"
"Africa_Southern","HFC125",2020,0,2020,3.5,"Africa_Southern","GHG","1990$/GgHFC125","GgHFC125"
"Africa_Southern","HFC134a",2020,0,2020,1.43,"Africa_Southern","GHG","1990$/GgHFC134a","GgHFC134a"
"Africa_Southern","HFC245fa",2020,0,2020,1.03,"Africa_Southern","GHG","1990$/GgHFC245fa","GgHFC245fa"
"Africa_Southern","SF6",2020,0,2020,22.8,"Africa_Southern","GHG","1990$/tSF6","GgSF6"
"Africa_Southern","CH4_AWB",2020,0,2020,25,"Africa_Southern","GHG","1990$/tCH4","TgCH4"
"Africa_Southern","CH4_AGR",2020,0,2020,25,"Africa_Southern","GHG","1990$/tCH4","TgCH4"
"Africa_Southern","N2O_AWB",2020,0,2020,298,"Africa_Southern","GHG","1990$/tN2O","TgN2O"
